FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr,a_count,contains_a
DE000MA42QZ5,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42R05,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42R13,Turbo Long DAX emittiert von Morgan Stanley & Co. Int. plc,RWINCE,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42R88,Mini Long USD/ZAR emittiert von Morgan Stanley & Co. Int. plc,RFCTCA,False,USD,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42RN9,Open End Turbo Long MarketAxess Holdings emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42S87,Open End Turbo Long Magna International emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,6,YES
DE000MA42SD8,Mini Long Kingsoft Cloud emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA42SJ5,Mini Long JD.com emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA42SQ0,Mini Long Pinduoduo emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA42UF9,Open End Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42UG7,Open End Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42UH5,Open End Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42VR2,Mini Long CAC 40 emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42VS0,Mini Long CAC 40 emittiert von Morgan Stanley & Co. Int. plc,RFITCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42WS8,Mini Long Allgeier emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA42XJ5,Mini Long Great Wall Motor emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA42XN7,Mini Long LVMH emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA42Z13,Mini Short G5 Entertainment emittiert von Morgan Stanley & Co. Int. plc,RFSTPA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43010,Turbo Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RWSNCE,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA435L0,Open End Turbo Long Christian Dior emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA43788,Mini Long Nike emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
